title,author,publisher,category,publish_date,description
말리의 일곱 개의 달,"Karunatilaka, Shehan",인플루엔셜,843.6. K3마,2023,
밤에는 모든 피가 검다,"Diop, David",희담,863. D5바,2022,
셔기 베인 : 더글러스 스튜어트 장편소설,"Stuart, Douglas",코호북스,843.6. S7셔,2021,
카이로스 : 예니 에르펜베크 장편소설,"Erpenbeck, Jenny",한길사,853. E7카,2024,
궤도,"Harvey, Samantha",서해문집,843.6. H3구,2025,
타임 셸터 : 게오르기 고스포디노프 장편소설,"Gospodinov, Georgi",문학동네,892.91. G6타,2024,
예언자의 노래: 2023 부커상 수상작,"Lynch, Paul",은행나무,843.6. L9여,2024,
약속 : 데이먼 갤것 장편소설,"Galgut, Damon",문학사상,843.6. G3야,2023,
방랑자들 : 올가 토카르추크 장편소설,"Tokarczuk, Olga",민음사,892.95. T6바,2019,
"소녀, 여자, 다른 사람들: 버나딘 에바리스토 장편소설","Evaristo, Bernardine",비채,843.6. E8소,2021,
파이 이야기 : 얀 마텔 장편소설,"Martel, Yann",작가정신,843.5. M3파,2022,
그날 저녁의 불편함 : 마리커 뤼카스 레이네펠트 장편소설,"Rijneveld, Marieke Lucas",비채,859.31. R5그,2021,
바르도의 링컨 : 조지 손더스 장편소설,"Saunders, George",문학동네,843.5. S2바,2018,
RAG 마스터 : 랭체인으로 완성하는 LLM 서비스,유브라이스,프리렉,Q336. 유48R,2025,
"LLM 엔지니어링 : RAG, 파인튜닝, LLMOps로 완성하는 실무 중심의 LLM 애플리케이션 개발","Iusztin, Paul",한빛미디어,Q336. I86L,2025,
(Do it!) LLM을 활용한 AI 에이전트 개발 입문 : GPT API+딥시크+라마+랭체인+랭그래프+RAG,이성용,이지스퍼블리싱,Q336. 이53L,2025,
AI 리터러시: 인공지능 필수 지식부터 완벽 활용까지,김용성,프리렉,004.73. 김66A,2024,
챗GPT·퍼플렉시티·클로드·코파일럿·제미나이 다 잘함 : 다양한 작업에 유용한 올라운드 플레이어 챗GPT,이호정,리코멘드,HF5548.4. 이95채,2025,
피버 코드,제임스 대시너,문학수첩,843.6. 제69메 v.5,2017,
데스 큐어,제임스 대시너,문학수첩,843.6. 제69메 v.3,2014,
메이즈 러너,제임스 대시너,문학수첩,843.6. 제69메 v.1,2012,
스코치 트라이얼,제임스 대시너,문학수첩,843.6. 제69메 v.2,2012,
킬 오더,제임스 대시너,문학수첩,843.6. 제69메 v.4,2015,
"(휴머노이드로봇, 1인 1로봇 시대를 향한) 글로벌 로봇산업 기술개발 동향과 시장 전망",이슈퀘스트 편집부,이슈퀘스트,MR-2024-004,2024,
인공지능의 새로운 패러다임 온디바이스 AI 기술 동향,하연 편집부,하연,MR-2024-005,2024,
생성형 AI의 발전과 디지털 휴먼 기술 동향,하연,하연,MR-2024-003,2024,
